	0	
16737	 'Das Motiv für seine Messerattacke und die Prügelei sei Eifersucht und verletzter Stolz gewesen.	tatmotiv
8977	['Zu Beginn der Pandemie sind viele Experten davon ausgegangen, dass im Zusammenhang mit dem Lockdown und den Kontaktbeschränkungen die Zahl von häuslichen Gewalttaten steigen werden. In Mecklenburg-Vorpommern gibt es keinen eindeutigen Trend.	statistik 
13576	 'muk']	NA
6797	 '15.35 Uhr – Die iranische Regierung hat ihre Lockerung der Maßnahmen gegen eine Ausbreitung des Virus verteidigt. Ein Regierungssprecher sagte, man könne nicht alles monatelang lahmlegen. Präsident Hassan Ruhani hatte am Sonntag eine leichte Lockerung der strengen Vorschriften bekanntgegeben. Im Iran gibt es nach Angaben des Gesundheitsministeriums mehr als 3700 Tote und über 60 000 Infizierte. Gleichzeitig legte die Krise 70 Prozent der Wirtschaft lahm.	non-DA
10935	['Polizeioberrat Gregor Eisenmann übernimmt die Leitung der Wachen in Opladen und Wiesdorf	announcement
16197	 'Durchgeführt wird das Symposium von Stefanie Tremmel vom Frauenhaus des Landkreises Erding, Silke Poller, Beauftragte der Polizei für Kriminalitätsopfer, und Marietta Wolf, Gleichstellungsbeauftragte für den Landkreis Erding. Anmeldungen für das Symposium von Fachkräften nimmt das BRK noch bis Mittwoch, 2. Mai, unter av@kverding.brk.de. Rückfragen zum genauen Inhalt sind unter 08122/ 97620 möglich. Interessenten für die Podiumsdiskussion sind willkommen.']	announcement
4653	 'Die beiden Ausländer wurden ebenso wegen Gewalt an ihren Frauen belangt.	
52	" '""Der essenziellste Baustein, um der virtuellen Gewalt entgegenzuwirken, ist die Sensibilisierung in möglichst vielen Bereichen"", sagt Hoyer-Neuhold. Darüber hinaus müssten Unternehmen, Politik und die Gesellschaft viel schärfer gegen virtuelle Übergriffe auftreten. Wenn die Gesellschaft es nicht schaffe, sich öffentlich gegen Cybergewalt zu stellen, sei das ein problematisches Zeichen. Etwa wenn Übergriffe als ""nicht so schlimm"" abgetan werden oder Betroffene mit Aussagen wie ""Es war ja nur auf Facebook"" konfrontiert werden. ""Es braucht in vielen Bereichen mehr Bewusstsein dafür, wie sehr das wehtun kann und dass diese Gewalt real ist, auch wenn es keine körperliche Gewalt ist"", betont das Forschungsteam."	policy advocacy
6759	" '""Für viele Frauen und Mädchen ist die Bedrohung dort am größten, wo sie am sichersten sein sollten. In ihrem eigenen Zuhause"", sagte Guterres. Wegen der Ausbreitung des Coronavirus gelten rund um den Globus Ausgangsbeschränkungen, verbringen also Paare und Familien deutlich mehr Zeit zuhause miteinander als zu normalen Zeiten."	positive quote
12680	 'Die Nachfrage nach Beratungen und Kindertherapien ist gestiegen. Wir nehmen wahr, dass die Wartezeiten länger werden. Viele Eltern und Kinder bekommen gar keine Angebote oder nur mit starker zeitlicher Verzögerung. Das macht uns Sorgen.	policy advocacy
21306	" 'Hilfseinrichtungen und Beratungszentren warnen außerdem davor, dass es in den nächsten Wochen zu deutlich mehr Gewalt zwischen Erwachsenen kommen könnte: Mehr Menschen arbeiten von zu Hause; wegen der wirtschaftlichen Auswirkungen des Coronavirus sind andere entweder von Arbeitslosigkeit bedroht oder bereits entlassen. All das steigert zu Hause den Stress."	policy advocacy
19372	 'Nun ist es so, als habe die Popsängerin mit ihrer Offenheit und ihrer Prominenz eine Art Welle ausgelöst. Die Familienministerin rief an und versicherte Sıla, sie stehe an ihrer Seite. In den sozialen Netzwerken dankten ihr bekannte und unbekannte Türkinnen für „beispielhaften Mut“. Eine Frau drohte einer Bank mit einem Aufruf zum Kontenboykott, weil der Schauspieler Kural dort Werbung macht. Die Bank gab wegen ihrer „ethischen Grundsätze“ jetzt die Trennung von ihrem bisherigen Imageträger bekannt.	
11325	 'Die Verstöße wurden im Einzelnen von 36\xa0837 Erwachsenen, 11\xa0404 Jugendlichen und 2346 Kindern begangen. „Die meisten Menschen verhalten sich vorbildlich und diszipliniert. Trotz des Verbots gibt es aber einige, die sich nicht an die Regeln halten. Der Drang nach frischer Luft ist nachvollziehbar, aber Corona ist noch nicht vorbei“, erklärte Reul. „Es müssen nicht alle auf einem Knubbel hocken.“ Verstöße gab es vor allem an den sonnigen Ostertagen und an den vergangenen Wochenenden in den großen Städten. Unter anderem musste die Polizei in Düsseldorf und Köln mehrfach den örtlichen Behörden helfen, als unter anderem Teile der Düsseldorfer Altstadt geräumt wurden. „So viel Verständnis ich für Geselligkeit an warmen Sommerabenden habe - das geht im Moment nicht so, wie wir das gewohnt sind“, so Reul: „Corona ist noch nicht vorbei.“	non-DA
11658	 'Hafner: Männer sagen oft, dass sie keine schlechten Väter sind. Sie verstehen nicht, dass sie natürlich indirekt Gewalt gegen die Kinder ausüben, wenn sie die Mutter vor den Kindern ohne Respekt behandeln. Es geht doch auch um psychische Gewalt, das ist ein sehr wichtiger Punkt. Und weil das eben oft auch von Jugendämtern und Familiengerichten so gesehen wird, dass der Mann die Kinder ja nicht geschlagen hat, wird dann übersehen, welche schwerwiegenden psychischen Folgen das haben kann. Wir haben jetzt ein Modell erarbeitet, wie man dem begegnet. Es setzt eine enge Zusammenarbeit mit dem Jugendamt, Familiengericht, Frauenberatung und der Hilfe für die Kinder voraus. Das ist aufwendig. Aber es würde sich lohnen.	positive quote
3108	 'Das Training ist kostenfrei. Die Plätze sind begrenzt. Anmeldungen nehmen die Jugendzentren Tonne und Rhen verbindlich bis zum 17. November entgegen. (kn)	announcement
2645	" ""Der ehemalige Starspieler von Manchester United muss sich am 28. April vor dem Magistrates 'Court in Manchester und Salford verantworten, sagte ein Sprecher des Crown Prosecution Service."", 'Der 47-Jährige war Anfang November vorübergehend festgenommen und anschließend auf Kaution freigelassen worden. Giggs hatte den Vorwurf bestritten, eine Frau leicht verletzt zu haben. Durch das laufende Verfahren der häuslichen Gewalt hatte Giggs die letzten drei Länderspiele 2020 und die ersten drei WM-Qualifikationsspiele seines Teams im März verpasst."	episodic frame, focus on perp
1147	" 'Auch im Kreis Euskirchen gehört Gewalt in Familien zum traurigen Alltag: Jährlich suchen mehr als 100 Frauen bei der Frauenberatungsstelle Hilfe, weil sie von häuslicher Gewalt betroffen sind. Mitbetroffen von Gewalt in der Familie sind stets auch die Kinder. Darüber hinaus finden jedes Jahr rund 70 Frauen und Mädchen den Weg in die Beratungsstelle, weil sie aktuell oder in der Vergangenheit sexuelle Gewalt erlebt haben. ""2021 war die jüngste Klientin 13 Jahre, die älteste Hilfesuchende fast 70 Jahre alt"", heißt es aus der Beratungsstelle des Vereins ""Frauen helfen Frauen""."	statistik 
