Frequency	PMI	T-Test	Chi-Square	Likelihood Ratio
('häuslicher', 'gewalt')	('dunkelblonden', 'kinnlangen')	('häuslicher', 'gewalt')	('berat', 'albayrak')	('häuslicher', 'gewalt')
('häusliche', 'gewalt')	('theatersaal', 'volkshauses')	('häusliche', 'gewalt')	('pressemitteilungen', 'pts')	('häusliche', 'gewalt')
('gewalt', 'frauen')	('zapatos', 'rojos')	('gewalt', 'frauen')	('zapatos', 'rojos')	('gewalt', 'frauen')
('opfer', 'häuslicher')	('wife', 'beater')	('opfer', 'häuslicher')	('xiao', 'juan')	('opfer', 'häuslicher')
('wegen', 'häuslicher')	('varvara', 'smirnova')	('wegen', 'häuslicher')	('wife', 'beater')	('wegen', 'häuslicher')
('frauen', 'kinder')	('unbekleideten', 'körperoberflächen')	('frauen', 'kinder')	('varvara', 'smirnova')	('millionen', 'euro')
('ist', 'nicht')	('etappensieg', 'kiosk')	('fälle', 'häuslicher')	('unbekleideten', 'körperoberflächen')	('frauen', 'kinder')
('gewalt', 'ist')	('selbstverteidigungsmodus', 'soziologieprofessor')	('häuslichen', 'gewalt')	('theatersaal', 'volkshauses')	('häuslichen', 'gewalt')
('aber', 'nicht')	('gerichtsprozessen', 'strafmilderungen')	('seine', 'frau')	('selbstverteidigungsmodus', 'soziologieprofessor')	('fälle', 'häuslicher')
('fälle', 'häuslicher')	('sedat', 'gürbüz')	('aber', 'nicht')	('sedat', 'gürbüz')	('kinder', 'jugendliche')
('häuslichen', 'gewalt')	('kindernetz', 'schäftlarn')	('frauen', 'mädchen')	('rheinisch', 'bergischen')	('seine', 'frau')
('seine', 'frau')	('männerrechte', 'bewahrung')	('kinder', 'jugendliche')	('dunkelblonden', 'kinnlangen')	('verhütung', 'bekämpfung')
('frauen', 'mädchen')	('xiao', 'juan')	('gewalt', 'betroffen')	('phantastische', 'tierwesen')	('frauen', 'mädchen')
('opfer', 'gewalt')	('tücken', 'gerichtsfesten')	('millionen', 'euro')	('gesichertes', 'gesamtbild')	('sexualisierter', 'gewalt')
('gewalt', 'betroffen')	('strafmilderungen', 'verfahrenseinstellungen')	('sexueller', 'gewalt')	('etappensieg', 'kiosk')	('vergleich', 'vorjahr')
('kinder', 'jugendliche')	('running', 'back')	('frauen', 'helfen')	('farrah', 'fawcett')	('sexueller', 'gewalt')
('sexueller', 'gewalt')	('praxiserfahrung', 'tücken')	('betroffen', 'sind')	('gerichtsprozessen', 'strafmilderungen')	('betroffen', 'sind')
('frauen', 'helfen')	('portugiesisch', 'albanisch')	('prozent', 'fälle')	('nous', 'toutes')	('sexualisierte', 'gewalt')
('frauen', 'ist')	('nous', 'toutes')	('sexualisierter', 'gewalt')	('kindernetz', 'schäftlarn')	('jahre', 'alt')
('millionen', 'euro')	('berat', 'albayrak')	('helfen', 'frauen')	('lokaljournalismus', 'datengetriebene')	('hilfe', 'holen')
('sind', 'nicht')	('lokaljournalismus', 'datengetriebene')	('ist', 'nicht')	('kuhle', 'wampe')	('weißen', 'ring')
('sind', 'frauen')	('farrah', 'fawcett')	('sexualisierte', 'gewalt')	('manne', 'lucha')	('ihrem', 'partner')
('prozent', 'fälle')	('british', 'empire')	('betroffene', 'frauen')	('oranger', 'button')	('hilfe', 'suchen')
('betroffen', 'sind')	('eingehenden', 'verfahrenszahlen')	('sexuelle', 'gewalt')	('anis', 'amri')	('gewalt', 'betroffen')
('werden', 'können')	('kuhle', 'wampe')	('werden', 'können')	('bundestrainer', 'kapitän')	('aufmerksam', 'machen')
('helfen', 'frauen')	('kanarischen', 'inseln')	('bekämpfung', 'gewalt')	('buzz', 'feed')	('weiße', 'ring')
('betroffene', 'frauen')	('klinikärzte', 'gynäkologen')	('ihrem', 'partner')	('verbrechensbekämpfung', 'unodc')	('vereinten', 'nationen')
('frauen', 'häuslicher')	('rheinisch', 'bergischen')	('opfer', 'gewalt')	('recherchezentrums', 'correctiv')	('millionen', 'dollar')
('sexualisierter', 'gewalt')	('nu', 'zerpflückt')	('ihrem', 'leben')	('elektronisches', 'armband')	('prozent', 'fälle')
('frauen', 'gewalt')	('anwaltlichen', 'beistands')	('thema', 'häusliche')	('human', 'rights')	('mord', 'totschlag')
('frauen', 'nicht')	('walvis', 'bay')	('hilfe', 'suchen')	('portugiesisch', 'albanisch')	('jahre', 'alte')
('sexualisierte', 'gewalt')	('verbrechensbekämpfung', 'unodc')	('ihren', 'kindern')	('tücken', 'gerichtsfesten')	('frauen', 'helfen')
('sexuelle', 'gewalt')	('recherchezentrums', 'correctiv')	('schutz', 'frauen')	('strafmilderungen', 'verfahrenseinstellungen')	('weißen', 'rings')
('frauen', 'opfer')	('priester', 'nonne')	('ist', 'wichtig')	('running', 'back')	('veröffentlichung', 'bestimmt')
('bekämpfung', 'gewalt')	('polizeiaufgaben', 'untersteht')	('betroffenen', 'frauen')	('praxiserfahrung', 'tücken')	('europarats', 'verhütung')
