Frequency	PMI	T-Test	Chi-Square	Likelihood Ratio
('verhütung', 'bekämpfung', 'gewalt', 'frauen')	('studium', 'praxiserfahrung', 'tücken', 'gerichtsfesten')	('verhütung', 'bekämpfung', 'gewalt', 'frauen')	('studium', 'praxiserfahrung', 'tücken', 'gerichtsfesten')	('opfer', 'häuslicher', 'gewalt', 'frauen')
('gewalt', 'frauen', 'häuslicher', 'gewalt')	('amtierenden', 'finanzminister', 'berat', 'albayrak')	('gewalt', 'frauen', 'häuslicher', 'gewalt')	('amtierenden', 'finanzminister', 'berat', 'albayrak')	('wegen', 'häuslicher', 'gewalt', 'frauen')
('bekämpfung', 'gewalt', 'frauen', 'häuslicher')	('existenzrecht', 'beraubt', 'schlussendlich', 'bedrohe')	('bekämpfung', 'gewalt', 'frauen', 'häuslicher')	('existenzrecht', 'beraubt', 'schlussendlich', 'bedrohe')	('häuslicher', 'gewalt', 'frauen', 'kinder')
('verein', 'frauen', 'helfen', 'frauen')	('meinungsverschiedenheiten', 'alltägliches', 'fass', 'überlaufen')	('verein', 'frauen', 'helfen', 'frauen')	('meinungsverschiedenheiten', 'alltägliches', 'fass', 'überlaufen')	('fälle', 'häuslicher', 'gewalt', 'frauen')
('europarats', 'verhütung', 'bekämpfung', 'gewalt')	('praxiserfahrung', 'tücken', 'gerichtsfesten', 'medizinischen')	('europarats', 'verhütung', 'bekämpfung', 'gewalt')	('praxiserfahrung', 'tücken', 'gerichtsfesten', 'medizinischen')	('häuslicher', 'gewalt', 'frauen', 'mädchen')
('folgenden', 'informationen', 'sind', 'nicht')	('sorgt', 'gerichtsprozessen', 'strafmilderungen', 'verfahrenseinstellungen')	('nicht', 'veröffentlichung', 'bestimmt', 'kontakte')	('sorgt', 'gerichtsprozessen', 'strafmilderungen', 'verfahrenseinstellungen')	('zunahme', 'häuslicher', 'gewalt', 'frauen')
('informationen', 'sind', 'nicht', 'veröffentlichung')	('lokaljournalismus', 'datengetriebene', 'investigative', 'recherchen')	('sind', 'nicht', 'veröffentlichung', 'bestimmt')	('lokaljournalismus', 'datengetriebene', 'investigative', 'recherchen')	('häuslicher', 'gewalt', 'frauen', 'sind')
('nicht', 'veröffentlichung', 'bestimmt', 'kontakte')	('two', 'and', 'half', 'men')	('folgenden', 'informationen', 'sind', 'nicht')	('hilfsdienste', 'anriefen', 'verdoppelt', 'gesundheitsdienste')	('hilfe', 'häuslicher', 'gewalt', 'frauen')
('sind', 'nicht', 'veröffentlichung', 'bestimmt')	('let', 'talk', 'wettbewerb', 'verständliche')	('informationen', 'sind', 'nicht', 'veröffentlichung')	('pressemitteilungen', 'pts', 'jeweiligen', 'aussender')	('häuslicher', 'gewalt', 'gewalt', 'frauen')
('häuslicher', 'gewalt', 'betroffen', 'sind')	('hilfsdienste', 'anriefen', 'verdoppelt', 'gesundheitsdienste')	('häuslicher', 'gewalt', 'betroffen', 'sind')	('two', 'and', 'half', 'men')	('gewalt', 'frauen', 'häuslicher', 'gewalt')
('opfer', 'häuslicher', 'gewalt', 'geworden')	('unbeabsichtigte', 'konsequenz', 'wirtschaftspolitik', 'staatspräsidenten')	('opfer', 'häuslicher', 'gewalt', 'geworden')	('let', 'talk', 'wettbewerb', 'verständliche')	('opfer', 'häuslicher', 'gewalt', 'gewalt')
('übereinkommen', 'europarats', 'verhütung', 'bekämpfung')	('messerangriff', 'belebten', 'bahnsteig', 'jungfernstieg')	('übereinkommen', 'europarats', 'verhütung', 'bekämpfung')	('unbeabsichtigte', 'konsequenz', 'wirtschaftspolitik', 'staatspräsidenten')	('opfer', 'häuslicher', 'gewalt', 'geworden')
('einsatz', 'wegen', 'häuslicher', 'gewalt')	('ängsten', 'zwängen', 'depressiven', 'verstimmungen')	('einsatz', 'wegen', 'häuslicher', 'gewalt')	('messerangriff', 'belebten', 'bahnsteig', 'jungfernstieg')	('zahl', 'opfer', 'häuslicher', 'gewalt')
('frauen', 'opfer', 'häuslicher', 'gewalt')	('zwängen', 'depressiven', 'verstimmungen', 'seelischen')	('frauen', 'opfer', 'häuslicher', 'gewalt')	('ängsten', 'zwängen', 'depressiven', 'verstimmungen')	('prozent', 'opfer', 'häuslicher', 'gewalt')
('opfer', 'häuslicher', 'gewalt', 'werden')	('fähigen', 'verteidiger', 'nu', 'zerpflückt')	('opfer', 'häuslicher', 'gewalt', 'werden')	('zwängen', 'depressiven', 'verstimmungen', 'seelischen')	('männliche', 'opfer', 'häuslicher', 'gewalt')
('gewalt', 'kommt', 'nicht', 'tüte')	('kinnlangen', 'haaren', 'spürt', 'wachem')	('gewalt', 'kommt', 'nicht', 'tüte')	('fähigen', 'verteidiger', 'nu', 'zerpflückt')	('jedes', 'opfer', 'häuslicher', 'gewalt')
('gewalt', 'frauen', 'häusliche', 'gewalt')	('dunkelblonden', 'kinnlangen', 'haaren', 'spürt')	('gewalt', 'frauen', 'häusliche', 'gewalt')	('dunkelblonden', 'kinnlangen', 'haaren', 'spürt')	('opfer', 'häuslicher', 'gewalt', 'schützen')
('anzeigen', 'wegen', 'häuslicher', 'gewalt')	('depressiven', 'verstimmungen', 'seelischen', 'nöten')	('anzeigen', 'wegen', 'häuslicher', 'gewalt')	('kinnlangen', 'haaren', 'spürt', 'wachem')	('schutz', 'opfer', 'häuslicher', 'gewalt')
