Collocation	Score (raw_freq)
('verhütung', 'bekämpfung', 'gewalt', 'frauen')	0.0001788978050899192
('gewalt', 'frauen', 'häuslicher', 'gewalt')	0.00017152057601404623
('bekämpfung', 'gewalt', 'frauen', 'häuslicher')	0.00016598765420714154
('verein', 'frauen', 'helfen', 'frauen')	0.00013832304517261794
('europarats', 'verhütung', 'bekämpfung', 'gewalt')	9.590397798634843e-05
('folgenden', 'informationen', 'sind', 'nicht')	8.4838134372539e-05
('informationen', 'sind', 'nicht', 'veröffentlichung')	8.4838134372539e-05
('nicht', 'veröffentlichung', 'bestimmt', 'kontakte')	8.4838134372539e-05
('sind', 'nicht', 'veröffentlichung', 'bestimmt')	8.4838134372539e-05
('häuslicher', 'gewalt', 'betroffen', 'sind')	8.299382710357077e-05
('opfer', 'häuslicher', 'gewalt', 'geworden')	8.114951983460252e-05
('übereinkommen', 'europarats', 'verhütung', 'bekämpfung')	7.746090529666605e-05
('einsatz', 'wegen', 'häuslicher', 'gewalt')	7.377229075872956e-05
('frauen', 'opfer', 'häuslicher', 'gewalt')	7.377229075872956e-05
('opfer', 'häuslicher', 'gewalt', 'werden')	6.823936895182486e-05
('gewalt', 'kommt', 'nicht', 'tüte')	6.639506168285661e-05
('gewalt', 'frauen', 'häusliche', 'gewalt')	6.270644714492014e-05
('anzeigen', 'wegen', 'häuslicher', 'gewalt')	5.7173525338015415e-05
('zahl', 'fälle', 'häuslicher', 'gewalt')	5.7173525338015415e-05
('häuslicher', 'gewalt', 'geworden', 'sind')	4.610768172420598e-05
('opfer', 'häuslicher', 'gewalt', 'sind')	4.426337445523774e-05
('veröffentlichung', 'bestimmt', 'kontakte', 'autorin')	4.426337445523774e-05
('opfer', 'häuslicher', 'gewalt', 'wurden')	4.24190671862695e-05
('zahl', 'opfer', 'häuslicher', 'gewalt')	4.24190671862695e-05
('bestimmt', 'kontakte', 'autor', 'deutsche')	3.8730452648333024e-05
('kontakte', 'autor', 'deutsche', 'fassung')	3.8730452648333024e-05
('veröffentlichung', 'bestimmt', 'kontakte', 'autor')	3.8730452648333024e-05
('opfer', 'körperlicher', 'sexueller', 'gewalt')	3.688614537936478e-05
('polizei', 'wegen', 'häuslicher', 'gewalt')	3.688614537936478e-05
('prozent', 'opfer', 'häuslicher', 'gewalt')	3.688614537936478e-05
('vereins', 'frauen', 'helfen', 'frauen')	3.688614537936478e-05
('verfahren', 'wegen', 'häuslicher', 'gewalt')	3.688614537936478e-05
('fälle', 'häuslicher', 'gewalt', 'registriert')	3.5041838110396546e-05
('ist', 'wegen', 'häuslicher', 'gewalt')	3.5041838110396546e-05
('männer', 'opfer', 'häuslicher', 'gewalt')	3.5041838110396546e-05
('internationalen', 'tages', 'gewalt', 'frauen')	3.3197530841428304e-05
('anzeige', 'wegen', 'häuslicher', 'gewalt')	3.135322357246007e-05
('familie', 'senioren', 'frauen', 'jugend')	3.135322357246007e-05
('internationalen', 'beseitigung', 'gewalt', 'frauen')	3.135322357246007e-05
('opfer', 'häuslicher', 'gewalt', 'ist')	3.135322357246007e-05
('autor', 'deutsche', 'fassung', 'enw')	2.9508916303491825e-05
('frau', 'mindestens', 'ihrem', 'leben')	2.9508916303491825e-05
('frauen', 'häuslicher', 'gewalt', 'betroffen')	2.9508916303491825e-05
('fälle', 'häuslicher', 'gewalt', 'prozent')	2.9508916303491825e-05
('einsätze', 'wegen', 'häuslicher', 'gewalt')	2.7664609034523586e-05
('frauen', 'helfen', 'frauen', 'filder')	2.7664609034523586e-05
('hilfetelefon', 'gewalt', 'frauen', 'ist')	2.7664609034523586e-05
('männliche', 'opfer', 'häuslicher', 'gewalt')	2.7664609034523586e-05
('wegen', 'häuslicher', 'gewalt', 'polizei')	2.7664609034523586e-05
('anlässlich', 'internationalen', 'tages', 'gewalt')	2.5820301765555347e-05
('berliner', 'initiative', 'gewalt', 'frauen')	2.5820301765555347e-05
('bestimmt', 'kontakte', 'autorin', 'deutsche')	2.5820301765555347e-05
('deutsche', 'fassung', 'redaktion', 'enw')	2.5820301765555347e-05
('kontakte', 'autorin', 'deutsche', 'fassung')	2.5820301765555347e-05
('wegen', 'häuslicher', 'gewalt', 'ausrücken')	2.5820301765555347e-05
('werden', 'opfer', 'häuslicher', 'gewalt')	2.5820301765555347e-05
('aktion', 'gewalt', 'kommt', 'nicht')	2.3975994496587108e-05
('autorin', 'deutsche', 'fassung', 'redaktion')	2.3975994496587108e-05
('fälle', 'häuslicher', 'gewalt', 'sind')	2.3975994496587108e-05
('gewalt', 'ist', 'keine', 'privatsache')	2.3975994496587108e-05
('millionen', 'dollar', 'millionen', 'euro')	2.3975994496587108e-05
('opfer', 'gewalt', 'geworden', 'sind')	2.3975994496587108e-05
('opfer', 'sexueller', 'gewalt', 'geworden')	2.3975994496587108e-05
('schutz', 'opfern', 'häuslicher', 'gewalt')	2.3975994496587108e-05
('beratungsstelle', 'frauen', 'helfen', 'frauen')	2.213168722761887e-05
('bietet', 'zusätzlich', 'beratungen', 'hotline')	2.213168722761887e-05
('deutsche', 'fassung', 'enw', 'bda')	2.213168722761887e-05
('frauen', 'kinder', 'häuslicher', 'gewalt')	2.213168722761887e-05
('fälle', 'häuslicher', 'gewalt', 'ist')	2.213168722761887e-05
('gewalt', 'betroffen', 'sind', 'erreichbar')	2.213168722761887e-05
('gewalt', 'betroffene', 'frauen', 'kinder')	2.213168722761887e-05
('gewalt', 'wahrnehmen', 'gewalt', 'betroffen')	2.213168722761887e-05
('ist', 'jederzeit', 'personen', 'gewalt')	2.213168722761887e-05
('jederzeit', 'personen', 'gewalt', 'wahrnehmen')	2.213168722761887e-05
('kriminalprävention', 'bietet', 'zusätzlich', 'beratungen')	2.213168722761887e-05
('landeskriminalamt', 'kriminalprävention', 'bietet', 'zusätzlich')	2.213168722761887e-05
('personen', 'gewalt', 'wahrnehmen', 'gewalt')	2.213168722761887e-05
('polizei', 'fälle', 'häuslicher', 'gewalt')	2.213168722761887e-05
('runden', 'tisch', 'häusliche', 'gewalt')	2.213168722761887e-05
('schutz', 'frauen', 'häuslicher', 'gewalt')	2.213168722761887e-05
('sind', 'opfer', 'häuslicher', 'gewalt')	2.213168722761887e-05
('wahrnehmen', 'gewalt', 'betroffen', 'sind')	2.213168722761887e-05
('wurden', 'fälle', 'häuslicher', 'gewalt')	2.213168722761887e-05
('anstieg', 'fälle', 'häuslicher', 'gewalt')	2.028737995865063e-05
('bekämpfung', 'gewalt', 'frauen', 'häusliche')	2.028737995865063e-05
('gewalt', 'spiele', 'gesperrt', 'worden')	2.028737995865063e-05
('häuslicher', 'gewalt', 'gewalt', 'frauen')	2.028737995865063e-05
('physischer', 'sexualisierter', 'gewalt', 'betroffen')	2.028737995865063e-05
('wegen', 'häuslicher', 'gewalt', 'gegeben')	2.028737995865063e-05
('anstieg', 'prozent', 'vergleich', 'vorjahr')	1.844307268968239e-05
