Collocation	Score (raw_freq)
('opfer', 'häuslicher', 'gewalt')	0.0011711351157948319
('wegen', 'häuslicher', 'gewalt')	0.0009608840871324526
('fälle', 'häuslicher', 'gewalt')	0.0005754238679180906
('frauen', 'helfen', 'frauen')	0.0002877119339590453
('frauen', 'häuslicher', 'gewalt')	0.0002840233194211088
('bekämpfung', 'gewalt', 'frauen')	0.00024344855950380757
('häusliche', 'gewalt', 'ist')	0.00024160425223483932
('thema', 'häusliche', 'gewalt')	0.00020840672139341103
('gewalt', 'betroffen', 'sind')	0.0001881193414347604
('verhütung', 'bekämpfung', 'gewalt')	0.0001788978050899192
('gewalt', 'frauen', 'häuslicher')	0.00017520919055198273
('gewalt', 'frauen', 'ist')	0.00017520919055198273
('gewalt', 'frauen', 'mädchen')	0.00015861042513126857
('häuslicher', 'gewalt', 'ist')	0.00015861042513126857
('fällen', 'häuslicher', 'gewalt')	0.00015676611786230032
('zunahme', 'häuslicher', 'gewalt')	0.00015123319605539563
('opfern', 'häuslicher', 'gewalt')	0.00014938888878642738
('häuslicher', 'gewalt', 'betroffen')	0.00014754458151745913
('verein', 'frauen', 'helfen')	0.00013832304517261794
('gewalt', 'frauen', 'kinder')	0.00013463443063468146
('häuslicher', 'gewalt', 'sind')	0.00013463443063468146
('häusliche', 'gewalt', 'frauen')	0.00012541289428984027
('anstieg', 'häuslicher', 'gewalt')	0.00012356858702087202
('fall', 'häuslicher', 'gewalt')	0.00011619135794499907
('frauen', 'häusliche', 'gewalt')	0.00011619135794499907
('hilfetelefon', 'gewalt', 'frauen')	0.00011434705067603083
('internationalen', 'gewalt', 'frauen')	0.00011434705067603083
('opfer', 'sexueller', 'gewalt')	0.0001125027434070626
('gewalt', 'betroffene', 'frauen')	0.00010512551433118964
('gewalt', 'geworden', 'sind')	0.00010512551433118964
('europarats', 'verhütung', 'bekämpfung')	9.590397798634843e-05
('zusammenhang', 'häuslicher', 'gewalt')	9.590397798634843e-05
('häuslicher', 'gewalt', 'geworden')	9.40596707173802e-05
('häuslicher', 'gewalt', 'werden')	9.037105617944373e-05
('kampf', 'häusliche', 'gewalt')	8.852674891047548e-05
('thema', 'gewalt', 'frauen')	8.668244164150724e-05
('folgenden', 'informationen', 'sind')	8.4838134372539e-05
('informationen', 'sind', 'nicht')	8.4838134372539e-05
('nicht', 'veröffentlichung', 'bestimmt')	8.4838134372539e-05
('sind', 'nicht', 'veröffentlichung')	8.4838134372539e-05
('veröffentlichung', 'bestimmt', 'kontakte')	8.4838134372539e-05
('ist', 'häusliche', 'gewalt')	8.299382710357077e-05
('häuslicher', 'gewalt', 'nicht')	8.114951983460252e-05
('häuslicher', 'sexualisierter', 'gewalt')	8.114951983460252e-05
('schutz', 'häuslicher', 'gewalt')	8.114951983460252e-05
('frauen', 'opfer', 'häuslicher')	7.930521256563428e-05
('übereinkommen', 'europarats', 'verhütung')	7.746090529666605e-05
('einsatz', 'wegen', 'häuslicher')	7.561659802769781e-05
('frauen', 'ihren', 'kindern')	7.561659802769781e-05
('gewalt', 'kommt', 'nicht')	7.561659802769781e-05
('betroffene', 'häuslicher', 'gewalt')	7.377229075872956e-05
('häuslicher', 'gewalt', 'prozent')	7.192798348976133e-05
('kommt', 'nicht', 'tüte')	7.192798348976133e-05
('interventionsstelle', 'häusliche', 'gewalt')	7.008367622079309e-05
('häuslicher', 'gewalt', 'frauen')	6.823936895182486e-05
('frauen', 'opfer', 'gewalt')	6.639506168285661e-05
('häuslicher', 'gewalt', 'wurden')	6.639506168285661e-05
('häuslicher', 'gewalt', 'haben')	6.455075441388837e-05
('beseitigung', 'gewalt', 'frauen')	6.270644714492014e-05
('gewalt', 'frauen', 'häusliche')	6.270644714492014e-05
('häuslicher', 'gewalt', 'polizei')	6.270644714492014e-05
('anzeigen', 'wegen', 'häuslicher')	5.901783260698365e-05
('gewalt', 'betroffenen', 'frauen')	5.901783260698365e-05
('mindestens', 'ihrem', 'leben')	5.901783260698365e-05
('körperlicher', 'sexueller', 'gewalt')	5.7173525338015415e-05
('zahl', 'fälle', 'häuslicher')	5.7173525338015415e-05
('gewalt', 'erlebt', 'haben')	5.532921806904717e-05
('häuslicher', 'gewalt', 'registriert')	5.532921806904717e-05
('ihrem', 'partner', 'getötet')	5.348491080007894e-05
('internationale', 'gewalt', 'frauen')	5.348491080007894e-05
('gewalt', 'frauen', 'kindern')	5.1640603531110695e-05
('zeichen', 'gewalt', 'frauen')	5.1640603531110695e-05
('anstieg', 'häuslichen', 'gewalt')	4.979629626214246e-05
('gewalt', 'frauen', 'november')	4.979629626214246e-05
('mann', 'seine', 'frau')	4.979629626214246e-05
('häusliche', 'sexualisierte', 'gewalt')	4.7951988993174216e-05
('häuslicher', 'gewalt', 'betroffene')	4.7951988993174216e-05
('prozent', 'vergleich', 'vorjahr')	4.7951988993174216e-05
('gewalt', 'erfahren', 'haben')	4.610768172420598e-05
('gewalt', 'gewalt', 'frauen')	4.610768172420598e-05
